"ID","Location.Quality","n_LQ","n_pnts","perc_LQ"
"213020","0",11,604,1.8
"213020","1",5,604,0.8
"213020","2",4,604,0.7
"213020","3",1,604,0.2
"213020","A",33,604,5.5
"213020","B",440,604,72.8
"213020","G",110,604,18.2
"213021","0",14,372,3.8
"213021","1",5,372,1.3
"213021","2",2,372,0.5
"213021","3",1,372,0.3
"213021","A",24,372,6.5
"213021","B",233,372,62.6
"213021","G",93,372,25
"213037","0",8,241,3.3
"213037","1",7,241,2.9
"213037","2",3,241,1.2
"213037","3",1,241,0.4
"213037","A",20,241,8.3
"213037","B",125,241,51.9
"213037","G",77,241,32
"213038","0",35,1043,3.4
"213038","1",24,1043,2.3
"213038","2",22,1043,2.1
"213038","3",22,1043,2.1
"213038","A",81,1043,7.8
"213038","B",451,1043,43.2
"213038","G",408,1043,39.1
"213039","0",27,895,3
"213039","1",9,895,1
"213039","2",6,895,0.7
"213039","3",1,895,0.1
"213039","A",55,895,6.1
"213039","B",508,895,56.8
"213039","G",289,895,32.3
"213040","0",50,1340,3.7
"213040","1",35,1340,2.6
"213040","2",27,1340,2
"213040","3",12,1340,0.9
"213040","A",94,1340,7
"213040","B",652,1340,48.7
"213040","G",470,1340,35.1
"213041","0",50,1430,3.5
"213041","1",34,1430,2.4
"213041","2",15,1430,1
"213041","3",18,1430,1.3
"213041","A",102,1430,7.1
"213041","B",852,1430,59.6
"213041","G",359,1430,25.1
"213042","0",21,1107,1.9
"213042","1",22,1107,2
"213042","2",11,1107,1
"213042","3",7,1107,0.6
"213042","A",76,1107,6.9
"213042","B",594,1107,53.7
"213042","G",376,1107,34
"213043","0",16,608,2.6
"213043","1",12,608,2
"213043","2",3,608,0.5
"213043","3",5,608,0.8
"213043","A",41,608,6.7
"213043","B",309,608,50.8
"213043","G",222,608,36.5
"213044","0",8,338,2.4
"213044","1",3,338,0.9
"213044","2",2,338,0.6
"213044","3",4,338,1.2
"213044","A",18,338,5.3
"213044","B",178,338,52.7
"213044","G",125,338,37
"213045","0",24,930,2.6
"213045","1",18,930,1.9
"213045","2",11,930,1.2
"213045","3",8,930,0.9
"213045","A",50,930,5.4
"213045","B",514,930,55.3
"213045","G",305,930,32.8
"213046","0",17,772,2.2
"213046","1",7,772,0.9
"213046","2",7,772,0.9
"213046","3",2,772,0.3
"213046","A",35,772,4.5
"213046","B",493,772,63.9
"213046","G",211,772,27.3
"224389","0",17,306,5.6
"224389","1",3,306,1
"224389","2",5,306,1.6
"224389","A",26,306,8.5
"224389","B",143,306,46.7
"224389","G",112,306,36.6
"224390","0",71,817,8.7
"224390","1",43,817,5.3
"224390","2",16,817,2
"224390","3",11,817,1.3
"224390","A",79,817,9.7
"224390","B",256,817,31.3
"224390","G",341,817,41.7
"224391","0",60,626,9.6
"224391","1",25,626,4
"224391","2",6,626,1
"224391","3",1,626,0.2
"224391","A",61,626,9.7
"224391","B",212,626,33.9
"224391","G",261,626,41.7
"224392","0",8,186,4.3
"224392","1",6,186,3.2
"224392","2",2,186,1.1
"224392","3",1,186,0.5
"224392","A",16,186,8.6
"224392","B",71,186,38.2
"224392","G",82,186,44.1
"224393","0",58,898,6.5
"224393","1",12,898,1.3
"224393","2",9,898,1
"224393","3",5,898,0.6
"224393","A",72,898,8
"224393","B",498,898,55.5
"224393","G",244,898,27.2
"224394","0",22,422,5.2
"224394","1",7,422,1.7
"224394","2",4,422,0.9
"224394","A",33,422,7.8
"224394","B",207,422,49.1
"224394","G",149,422,35.3
"224395","0",114,1410,8.1
"224395","1",45,1410,3.2
"224395","2",32,1410,2.3
"224395","3",15,1410,1.1
"224395","A",133,1410,9.4
"224395","B",524,1410,37.2
"224395","G",547,1410,38.8
"224396","0",102,1024,10
"224396","1",31,1024,3
"224396","2",7,1024,0.7
"224396","3",6,1024,0.6
"224396","A",97,1024,9.5
"224396","B",495,1024,48.3
"224396","G",286,1024,27.9
"224397","0",59,1061,5.6
"224397","1",18,1061,1.7
"224397","2",8,1061,0.8
"224397","3",4,1061,0.4
"224397","A",93,1061,8.8
"224397","B",576,1061,54.3
"224397","G",303,1061,28.6
"224398","0",14,190,7.4
"224398","2",1,190,0.5
"224398","3",2,190,1.1
"224398","A",19,190,10
"224398","B",85,190,44.7
"224398","G",69,190,36.3
"224399","0",52,667,7.8
"224399","1",17,667,2.5
"224399","2",7,667,1
"224399","3",3,667,0.4
"224399","A",57,667,8.5
"224399","B",246,667,36.9
"224399","G",285,667,42.7
"224400","0",88,1129,7.8
"224400","1",21,1129,1.9
"224400","2",11,1129,1
"224400","3",8,1129,0.7
"224400","A",104,1129,9.2
"224400","B",528,1129,46.8
"224400","G",369,1129,32.7
"224401","0",8,175,4.6
"224401","1",2,175,1.1
"224401","2",1,175,0.6
"224401","3",1,175,0.6
"224401","A",19,175,10.9
"224401","B",99,175,56.6
"224401","G",45,175,25.7
