"ID","Location.Quality","n_LQ","n_pnts","perc_LQ"
"213020","0",19,741,2.6
"213020","1",5,741,0.7
"213020","2",5,741,0.7
"213020","3",2,741,0.3
"213020","A",41,741,5.5
"213020","B",514,741,69.4
"213020","G",152,741,20.5
"213020","Z",3,741,0.4
"213021","0",18,459,3.9
"213021","1",6,459,1.3
"213021","2",2,459,0.4
"213021","3",1,459,0.2
"213021","A",33,459,7.2
"213021","B",281,459,61.2
"213021","G",118,459,25.7
"213037","0",10,311,3.2
"213037","1",7,311,2.3
"213037","2",4,311,1.3
"213037","3",1,311,0.3
"213037","A",23,311,7.4
"213037","B",155,311,49.8
"213037","G",111,311,35.7
"213038","0",54,1330,4.1
"213038","1",31,1330,2.3
"213038","2",27,1330,2
"213038","3",23,1330,1.7
"213038","A",97,1330,7.3
"213038","B",597,1330,44.9
"213038","G",500,1330,37.6
"213038","Z",1,1330,0.1
"213039","0",48,1289,3.7
"213039","1",10,1289,0.8
"213039","2",7,1289,0.5
"213039","3",1,1289,0.1
"213039","A",78,1289,6.1
"213039","B",703,1289,54.5
"213039","G",442,1289,34.3
"213040","0",79,1807,4.4
"213040","1",40,1807,2.2
"213040","2",34,1807,1.9
"213040","3",16,1807,0.9
"213040","A",135,1807,7.5
"213040","B",902,1807,49.9
"213040","G",601,1807,33.3
"213041","0",73,1747,4.2
"213041","1",36,1747,2.1
"213041","2",19,1747,1.1
"213041","3",21,1747,1.2
"213041","A",125,1747,7.2
"213041","B",1021,1747,58.4
"213041","G",452,1747,25.9
"213042","0",34,1438,2.4
"213042","1",30,1438,2.1
"213042","2",12,1438,0.8
"213042","3",7,1438,0.5
"213042","A",98,1438,6.8
"213042","B",788,1438,54.8
"213042","G",469,1438,32.6
"213043","0",26,820,3.2
"213043","1",16,820,2
"213043","2",3,820,0.4
"213043","3",5,820,0.6
"213043","A",52,820,6.3
"213043","B",431,820,52.6
"213043","G",287,820,35
"213044","0",13,459,2.8
"213044","1",4,459,0.9
"213044","2",4,459,0.9
"213044","3",4,459,0.9
"213044","A",25,459,5.4
"213044","B",244,459,53.2
"213044","G",165,459,35.9
"213045","0",38,1266,3
"213045","1",29,1266,2.3
"213045","2",17,1266,1.3
"213045","3",10,1266,0.8
"213045","A",77,1266,6.1
"213045","B",672,1266,53.1
"213045","G",422,1266,33.3
"213045","Z",1,1266,0.1
"213046","0",17,942,1.8
"213046","1",7,942,0.7
"213046","2",9,942,1
"213046","3",2,942,0.2
"213046","A",47,942,5
"213046","B",585,942,62.1
"213046","G",274,942,29.1
"213046","Z",1,942,0.1
"224389","0",44,491,9
"224389","1",3,491,0.6
"224389","2",5,491,1
"224389","3",1,491,0.2
"224389","A",42,491,8.6
"224389","B",240,491,48.9
"224389","G",153,491,31.2
"224389","Z",3,491,0.6
"224390","0",132,1288,10.2
"224390","1",53,1288,4.1
"224390","2",21,1288,1.6
"224390","3",12,1288,0.9
"224390","A",133,1288,10.3
"224390","B",471,1288,36.6
"224390","G",466,1288,36.2
"224391","0",105,935,11.2
"224391","1",31,935,3.3
"224391","2",6,935,0.6
"224391","3",3,935,0.3
"224391","A",95,935,10.2
"224391","B",373,935,39.9
"224391","G",320,935,34.2
"224391","Z",2,935,0.2
"224392","0",13,248,5.2
"224392","1",7,248,2.8
"224392","2",2,248,0.8
"224392","3",1,248,0.4
"224392","A",20,248,8.1
"224392","B",112,248,45.2
"224392","G",93,248,37.5
"224393","0",92,1435,6.4
"224393","1",19,1435,1.3
"224393","2",11,1435,0.8
"224393","3",8,1435,0.6
"224393","A",125,1435,8.7
"224393","B",814,1435,56.7
"224393","G",365,1435,25.4
"224393","Z",1,1435,0.1
"224394","0",40,685,5.8
"224394","1",10,685,1.5
"224394","2",4,685,0.6
"224394","A",50,685,7.3
"224394","B",371,685,54.2
"224394","G",208,685,30.4
"224394","Z",2,685,0.3
"224395","0",184,2104,8.7
"224395","1",58,2104,2.8
"224395","2",40,2104,1.9
"224395","3",18,2104,0.9
"224395","A",192,2104,9.1
"224395","B",891,2104,42.3
"224395","G",718,2104,34.1
"224395","Z",3,2104,0.1
"224396","0",161,1625,9.9
"224396","1",40,1625,2.5
"224396","2",12,1625,0.7
"224396","3",7,1625,0.4
"224396","A",163,1625,10
"224396","B",844,1625,51.9
"224396","G",398,1625,24.5
"224397","0",101,1623,6.2
"224397","1",27,1623,1.7
"224397","2",14,1623,0.9
"224397","3",7,1623,0.4
"224397","A",138,1623,8.5
"224397","B",917,1623,56.5
"224397","G",418,1623,25.8
"224397","Z",1,1623,0.1
"224398","0",17,247,6.9
"224398","1",1,247,0.4
"224398","2",1,247,0.4
"224398","3",2,247,0.8
"224398","A",25,247,10.1
"224398","B",114,247,46.2
"224398","G",86,247,34.8
"224398","Z",1,247,0.4
"224399","0",107,1120,9.6
"224399","1",22,1120,2
"224399","2",8,1120,0.7
"224399","3",3,1120,0.3
"224399","A",117,1120,10.4
"224399","B",473,1120,42.2
"224399","G",390,1120,34.8
"224400","0",123,1494,8.2
"224400","1",24,1494,1.6
"224400","2",12,1494,0.8
"224400","3",8,1494,0.5
"224400","A",135,1494,9
"224400","B",733,1494,49.1
"224400","G",458,1494,30.7
"224400","Z",1,1494,0.1
"224401","0",11,254,4.3
"224401","1",3,254,1.2
"224401","2",1,254,0.4
"224401","3",1,254,0.4
"224401","A",23,254,9.1
"224401","B",152,254,59.8
"224401","G",62,254,24.4
"224401","Z",1,254,0.4
