"ID","sex","CCL_cm","n_locs","deploy_yr","deploy_date","deploy_doy","depart_date","depart_doy","forage_arrival","duration_h","total_dist_km","gc_dist_km"
"213020","M",89,43,2021,2021-07-04,185,2021-08-27,239,18875,217.100555555556,131.479461447548,85.7434002436714
"213038","M",100,131,2021,2021-07-07,188,2021-09-10,253,18906,630.790555555556,1360.74649607929,1075.09729114458
"213039","M",97,33,2021,2021-07-08,189,2021-07-18,199,18834,180.566666666667,451.939216851543,376.448816377697
"213040","M",95,62,2021,2021-07-06,187,2021-08-28,240,18876,196.803888888889,486.722978565531,377.541628708769
"213041","M",93,12,2021,2021-07-05,186,2021-08-14,226,18855,45.87,71.3504659719179,49.0187993081656
"213042","M",93.2,64,2021,2021-07-06,187,2021-08-12,224,18859,199.206666666667,448.007207730312,337.61844909495
"213043","M",88,47,2021,2021-07-05,186,2021-08-12,224,18857,163.011111111111,387.838696907496,290.987464153768
"213045","M",106.3,92,2021,2021-07-08,189,2021-08-25,237,18888,558.111944444444,1239.20651224297,1079.0668212972
"213046","M",92.6,43,2021,2021-07-09,190,2021-08-03,215,18852,232.797222222222,463.854562387978,382.088268446889
"224389","F",103,24,2021,2021-11-14,318,2021-12-29,363,NA,NA,NA,1112.09580030579
"224390","F",102,265,2021,2021-11-14,318,2021-11-14,318,18991,1099.78777777778,1735.76329332502,1078.45709581133
"224391","F",106.4,91,2021,2021-11-15,319,2021-11-27,331,18989,758.016944444444,1242.29242628509,1025.16729810923
"224393","F",98.4,108,2021,2021-11-15,319,2021-11-15,319,18978,767.093888888889,1334.79338635309,966.095839985929
"224394","F",89.3,85,2021,2021-11-15,319,2021-11-15,319,18989,1021.26611111111,1454.34712483329,1034.94997645034
"224395","F",105,272,2021,2021-11-17,321,2022-02-17,48,19091,1218.07638888889,2379.46769146864,1845.97403312721
"224396","F",98.5,177,2021,2021-11-18,322,2021-11-27,331,18988,713.646666666667,1386.18685684385,1022.97128266304
"224397","F",99.6,165,2021,2021-11-19,323,2021-12-30,364,19027,856.708888888889,1300.8379998701,1028.5940163447
"224399","F",98,88,2021,2021-11-21,325,2021-12-03,337,18986,529.486111111111,1248.42025916024,1010.83534087671
"224400","F",102.6,130,2021,2021-11-21,325,2022-01-01,1,19025,745.862777777778,1293.9362715225,982.699307379212
"224401","F",100.3,7,2021,2021-11-23,327,2022-01-10,10,NA,NA,NA,953.016170665125
